,owner,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,average
57,SOLVAY FLUORIDES INC,0.024640657,0.032177687,0.021114259,0.012330037,0.01402812,0.017659138,0.009582478,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,0.002737851,,0.005619067
58,SPENCER T. OLIN GOLF COURSE,,,,,,,,,0.078850103,0.210814511,0.139917864,0.173864476,0.017782341,0.248596851,0.206707734,0.206707734,0.180469998,0.154232261,0.127994524,0.101756788,0.075519051,0.049281314,0.054757016,0.054811773,0.068514716,0.082135524,0.095824778,0.040734001,0.040734001,0.040734001,0.040734001,0.040734001,0.040734001,0.040734001,0.040734001,0.040734001,0.040734001,0.040734001,0.040734001,,0.090882173
59,SPRING VALLEY MHP,0.002698152,0.00278987,0.002464066,0.002053388,0.00349076,0.004106776,0.003039014,0.001290144,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,0.001222177,,0.001533837
60,ST JACOB,0.028556331,0.027678029,0.031271184,0.029610842,0.022516906,0.027540589,0.027408077,0.026438604,0.022694319,0.022982067,0.026618754,0.027689528,0.027378508,0.025712799,0.027166872,0.027188501,0.029598905,0.032286379,0.030504312,0.031296372,0.030954141,0.030832033,0.030778919,0.031150445,0.024313758,0.023425051,0.022765229,0.022984257,0.02095551,0.02095551,0.02095551,0.033233402,0.045511294,0.013366188,0.02352909,0.023583847,0.015392197,0.0096564,0.0096564,,0.025798386
61,ST LIBORY,0.049809719,0.04352909,0.043937029,0.041848049,0.045448323,0.047254757,0.041330595,0.052635181,0.047728953,0.04466256,0.046827105,0.044262834,0.042447639,0.047956194,0.046340862,0.044695414,0.043782615,0.054962355,0.049965777,0.056605065,0.049965777,0.049965777,0.058959617,0.066554415,0.053494867,0.053494867,0.049894593,0.049894593,0.048939083,0.048939083,0.048939083,0.048939083,0.048939083,0.048939083,0.048939083,0.048939083,0.048939083,0.048939083,0.048939083,,0.048886783
62,ST. LOUIS NATL STOCKYARDS CO,0.999315537,0.984886379,0.657084189,0.427104723,0.273785079,0.232279261,0.528515619,0.268523655,0.263140589,0.256674196,0.250103354,0.250103354,0.193564408,0.175687337,0.171663244,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,0.174483231,,0.259487909
63,STEIN STEEL MILL SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005311431,0.008071184,0.008071184,0.005771389,0.007249829,0.009489391,0.008306639,0.007019849,0.007019849,,0.007367861
64,STONEWOLF GOLF COURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03613963,0.042436687,0.043805613,0.041067762,0.043805613,0.043805613,,0.041843486
65,SUGARLOAF LANDSCAPE NURSERY,,,,,,,,,,,,,,,0.009856263,0.009856263,0.014401095,0.018945927,0.02349076,0.028035592,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,0.032580424,,0.028944559
66,SUNSET HILLS COUNTRY CLUB,,,,,,0.013995893,0.013995893,0.038340862,0.032969199,0.027597536,0.059137577,0.075696099,0.094620123,0.082792608,0.067022587,0.056772074,0.020501027,0.026973306,0.033445585,0.039917864,0.038329911,0.039917864,0.039917864,0.055589322,0.07126078,0.086932238,0.102603696,0.118275154,0.047310062,0.047310062,0.118275154,0.118275154,0.118275154,0.118275154,0.118275154,0.118275154,0.118275154,0.118275154,0.118275154,,0.070461811
67,THE NESTLE CO INC,0.684462697,0.706124572,0.440793977,0.405284052,0.351572895,0.611088296,0.499179466,0.378480493,0.216837782,0.041836824,0.117939767,0.338184129,0.091670894,0.096783025,0.169241188,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,0.127272074,,0.210359226
68,TIMBERLAKES HOMEOWNERS ASSN,0.004723228,0.004696783,0.006718275,0.009819507,0.006331825,0.007429596,0.008185681,0.008863682,0.007478741,0.008182163,0.008182163,0.0059787,0.005393265,0.006331663,0.00487885,0.004586311,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,0.005635154,,0.006086897
69,TROY,0.655638604,0.68419384,0.724772621,0.76495551,0.777752225,0.769336071,0.941820671,0.991101985,0.952772074,0.900752909,0.90349076,0.889801506,0.90349076,0.944558522,1.067173169,1.111342916,1.217620808,1.303134839,1.388648871,1.489979466,2.295073238,1.232411225,1.581117043,1.704894894,1.550469541,1.550469541,1.550469541,1.219622177,1.218343598,1.313712526,1.317992936,1.317992936,1.215389733,1.340864394,1.393551814,1.349213689,1.407938946,1.011710313,1.011710313,,1.17859709
70,U.S. STEEL - GRANITE CITY WORKS,4.59192334,6.881587953,7.186310746,11.70978782,6.611909651,9.368925394,9.368925394,7.006433949,7.47652293,7.286516085,3.028062971,3.52019165,4.012320329,4.504449008,4.996577687,5.830108145,5.677754962,5.552361396,5.453798768,4.720054757,4.020807666,4.20807666,3.730321697,1.578644764,1.562217659,1.667550992,1.627652293,2.761779603,4.040977413,7.876747433,8.025974858,8.859953457,11.72878303,7.769609933,3.29341548,0.527310062,2.460780287,4.883230664,4.883230664,,5.392091988
71,VALMEYER,0.067033265,0.03706475,0.072445722,0.084404107,0.099527173,0.10403833,0.128002738,0.128002738,0.109514031,0.109514031,0.109514031,0.110061602,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,0.064202601,,0.074169045
72,VIRGIL GUMMERSHEIMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012525667,0.012525667,0.012525667,0.012525667,0.012525667,,0.012525667
73,WITTENAUER FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001264887,0.008673511,0.010841889,0.013010267,0.013010267,0.013010267,0.013010267,0.013010267,0.013010267,0.013010267,0.013010267,0.013010267,0.013010267,,0.011606381
74,WOOD RIVER,1.311214237,1.261828884,1.275271732,1.314677618,1.366433949,1.368925394,1.445705681,1.368925394,1.368925394,1.368925394,1.437371663,1.711156742,2.05338809,1.711156742,1.546885695,1.587953457,1.232032854,1.505817933,1.779603012,2.05338809,1.063718001,1.095140315,1.092128679,1.141683778,1.137303217,1.085081451,1.12312115,1.06934976,1.021264887,0.922155825,1.056722793,1.087058179,1.294010021,1.430247775,1.390830938,1.40954141,1.530798084,1.289527721,1.289527721,,1.348687171
75,WOOD RIVER REFINERY,11.9835729,13.10882957,11.8329911,11.8220397,10.98973306,11.12388775,11.01984942,11.86036961,10.71321013,10.96235455,9.199178645,9.534565366,10.4476386,10.36550308,4.408276632,10.50867997,11.92607803,11.32375086,11.20328542,10.49965777,10.28062971,10.28062971,10.17729204,10.17729204,12.27479261,12.27479261,12.27479261,11.23535173,10.19591084,11.30197676,11.8749265,14.65795137,20.26539407,18.49760659,16.95915642,16.42896754,16.30692604,11.99464156,11.99464156,,11.90479806
76,WORDEN,0.056960986,0.046804107,0.055488022,0.057700205,0.069743463,0.069798768,0.057727584,0.066214921,0.070015058,0.079698836,0.079945243,0.082135524,0.082135524,0.062956879,0.065708419,0.065708419,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,0.062255989,,0.06411871
