,owner,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,average
13,COLUMBIA QUARRY CO DUPO #9,,,,,,,,,,,,,,,,,,,0.003559206,0.007665982,0.011772758,0.007392197,0.009259411,0.007148528,0.007055715,0.008213552,0.008213552,0.008213552,0.008213552,0.009582478,0.009582478,0.009582478,0.008213552,0.008487337,0.008761123,0.008487337,0.008487337,0.008487337,0.008487337,,0.008326991
14,COTTONWOOD MHP,0.001698836,0.001698836,0.001698836,0.001698836,0.001698836,0.001368925,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,0.001546886,,0.001561803
15,COZY ACRES MHP,,,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,0.000104038,,0.000104038
16,DUPO,,,,,,,,,,,,,0.489659138,0.495505133,0.501351129,0.507197125,0.513043121,0.410677618,0.487950719,0.371195072,0.268887064,0.271841205,0.264438056,0.28942642,0.306655715,0.323066393,0.328542094,0.302521561,0.334017796,0.300295688,0.305963039,0.317431896,0.33955373,0.345014648,0.350475565,0.355936482,0.361397399,0.366858316,0.366858316,,0.365768905
17,"EAGLE MARINE INDUSTRIES, INC",,,,,,,,,2.74E-05,3.65E-05,4.56E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,5.48E-05,,5.29907E-05
18,EAST ALTON,0.649264887,0.643111075,0.646970568,1.03826694,1.286833676,1.41672835,1.489549624,1.79656564,1.829158111,1.775770021,1.864029514,1.864029514,1.365112115,1.562094456,1.457759058,1.398035318,1.149159206,0.936706366,1.120654346,1.347112936,1.800731006,1.529462015,1.821212868,1.86158248,1.642212183,1.547567591,1.452922998,1.53958898,1.176271047,1.497065024,1.482915811,1.420618754,1.285620808,1.297259411,1.194767967,1.332839608,1.470911248,1.608982888,1.608982888,,1.4156007
19,EDWARDSVILLE,1.719438741,1.721122519,1.922483231,1.941338809,1.830833676,1.981382615,2.01779603,2.145828337,2.088034497,2.252305544,2.298524298,2.510299795,2.437071154,2.636826201,2.776130513,2.733186308,3.001470954,3.979330089,4.21027793,4.21939951,4.443259406,4.597979871,3.475626368,3.660443655,4.101497604,5.225513717,4.1707545,3.798008096,4.891951154,4.805121889,4.813774108,4.847012153,4.880250198,3.965069555,3.049888912,5.270082231,7.490275551,9.710468871,9.710468871,,3.777705832
20,FAIRMOUNT PARK,,,,,,,,0.008761123,0.012024641,0.011039014,0.0062423,0.004186174,0.002831622,0.002831622,0.01310883,0.01310883,0.01310883,0.016021903,0.018934976,0.021848049,0.025735797,0.01310883,0.01310883,0.021848049,0.021848049,0.017494867,0.013141684,0.006570842,0.007080082,0.007589322,0.010176591,0.010521561,0.010349076,0.008796715,0.008969199,0.007244353,0.007071869,0.006209446,0.006209446,,0.011472579
21,FAYETTEVILLE,0.022216016,0.023899795,0.030502122,0.028227242,0.026786585,0.02345243,0.02345243,0.023134839,0.028021903,0.027622177,0.026527036,0.025431896,0.024336756,0.024336756,0.024336756,0.027542779,0.028355008,0.029167237,0.029979466,0.032977413,0.024982888,0.036974675,0.060232717,0.064353183,0.027542779,0.027542779,0.027542779,0.027542779,0.027542779,0.027542779,0.027542779,0.027542779,0.027542779,0.027542779,0.027542779,0.027542779,0.027542779,0.027542779,0.027542779,,0.028974148
22,FOUNTAIN WATER DISTRICT,,,,,,,,,,,,,,,0.054471305,0.054471305,0.096391786,0.103632033,0.121960575,0.139864203,0.168980151,0.186041615,0.192964819,0.211262867,0.268354825,0.2906564,0.307408624,0.319906913,0.306994382,0.322958522,0.343813005,0.358843806,0.3408282,0.344241889,0.347655578,0.351069268,0.354482957,0.357896646,0.357896646,,0.252121933
23,GATEWAY NATIONAL GOLF LINKS,,,,,,,,,,,,,,,,,0.136892539,0.136892539,0.136892539,0.136892539,0.136892539,0.136892539,0.136892539,0.136892539,0.136892539,0.136892539,0.136892539,0.136892539,0.098562628,0.090349076,0.084873374,0.084873374,0.084873374,0.084873374,0.084873374,0.084873374,0.084873374,0.084873374,0.084873374,,0.112847067
24,GENERAL CHEMICAL CORPORATION,,,0.024093087,0.02099384,0.005568789,0.002723285,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,0.005287885,,0.006158897
25,GLEN CARBON,0.516599589,0.564526489,0.77636501,0.611945243,0.334081971,0.410964271,0.623672005,0.691939767,0.678256263,0.684050376,0.748013415,0.802595209,0.821819849,0.899228194,0.821809993,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,0.818279261,,0.759604357
26,HAMEL,0.060418768,0.054312791,0.055184312,0.051950719,0.041607118,0.05174538,0.048117043,0.063419576,0.061155373,0.060724162,0.066699521,0.059646817,0.069492402,0.074425736,0.062715948,0.059211499,0.061629018,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,0.058924025,,0.058943198
27,HARTFORD,0.361875975,0.361875975,0.164243669,0.413519507,0.345892402,0.332577139,0.372231622,0.441483395,0.304088296,0.210930593,0.220627269,0.234677618,0.252496181,0.269771116,0.290498289,0.288046817,0.331810267,0.309533744,0.286472827,0.26341191,0.306715948,0.281577002,0.261448323,0.308175222,0.283756331,0.294047912,0.337237509,0.361708419,0.380172485,0.380172485,0.380172485,0.3376564,0.142954141,0.142954141,0.142954141,0.142954141,0.142954141,0.142954141,0.142954141,,0.281271388
28,HOLIDAY MHP,0.040962877,0.045250349,0.044337659,0.044118094,0.041568693,0.042891606,0.034880219,0.037913285,0.040946351,0.043979417,0.03797399,0.031598905,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,0.027980835,,0.031843692
29,HORSESHOE LAKE STATE PARK,,,,2.74E-05,2.74E-05,3.42E-05,4.11E-05,7.43E-05,0.000107461,0.000107461,0.000132786,0.000107461,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,6.57E-05,,6.76002E-05
30,IDOT DIST 8 - EAST ST LOUIS DEWATERING,,9.353593429,9.848049281,10.7926078,10.7926078,10.7926078,10.7926078,12.23271732,10.07255305,11.22518823,11.20876112,11.20876112,22.98825462,26.22603696,26.22603696,21.41253388,19.73782341,18.33474333,16.93166324,14.12550308,14.0524282,14.0524282,14.0524282,14.0524282,14.0524282,14.0524282,13.97935332,13.97935332,17.77182752,17.77182752,17.76646133,17.26817248,17.26543463,17.26543463,17.26543463,17.26543463,17.26543463,17.26543463,17.26543463,,15.47400677
31,JOHN RIECHMANN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045462593,0.096137388,0.096137388,0.096137388,0.096137388,,0.086002429
32,KETTLER CASTING CO INC,0.000701574,0.000350787,0.000602327,0.000602327,0.00072553,0.000657084,0.00109514,0.00109514,0.00109514,0.00109514,0.00109514,0.00109514,0.00109514,0.00109514,0.00109514,0.001368925,0.001368925,0.001368925,0.001368925,0.001368925,0.001368925,0.001368925,0.001368925,0.001368925,0.001368925,0.001368925,0.001368925,0.001368925,0.000524353,0.000524353,0.000524353,0.000524353,0.000524353,0.000524353,0.000524353,0.000524353,0.000524353,0.000524353,0.000524353,,0.000950251
33,KIENSTRA INC,,,,,,,,,,,,,,,,,,,,,,,,,0.000246407,0.000246407,0.000246407,0.000246407,0.000246407,0.000246407,0.000246407,0.000246407,0.000246407,0.000246407,0.000246407,0.000246407,0.000246407,0.000246407,0.000246407,,0.000246407
