p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
402835,11938480,CORN SWEETENERS INC,1,113,,,21944685,37038960,52133235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402836,11938480,CORN SWEETENERS INC,2,117,,,21944685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402838,11938490,U.S. STEEL - GRANITE CITY WORKS,1,101,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402839,11938490,U.S. STEEL - GRANITE CITY WORKS,2,105,,,787950000,1282800000,1873812000,2147550000,1246000000,1567998000,1567998000,1745800000,955910000,1001400000,1046890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402840,11938490,U.S. STEEL - GRANITE CITY WORKS,3,113,,,879250000,1230700000,750988000,2129450000,1169000000,1854002000,1854002000,813300000,1774890000,1660000000,1106000000,1285750000,1465500000,1645250000,1825000000,2129447000,2073800000,2028000000,1992000000,1724000000,1468600000,1537000000,1362500000,576600000,570600000,574300000,559500000,833740000,1466300000,2528500000,2639600000,2971800000,3921800000,2490800000,1136400000,188700000,898800000,1783600000,2668400000
402843,11938495,LEGACY GOLF COURSE,1,111,2833677,2075353,,,,,,,,,,,54000,54000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,,,,,,,,,,,,,
402845,11938550,THE NESTLE CO INC,3,115,,,167500000,123518986.7,79537973.33,35556960,23871306.67,12185653.33,500000,450000,60000,530000,1000000,733200,195000,230000,200000,150000,100000,,,,,,,,,,,,,,,,,,,,,,
402846,11938550,THE NESTLE CO INC,4,115,,,82500000,128956000,100000000,82966240,85608000,160000000,174709600,126990000,50175000,60000,40327500,117712553,33287794,35120000,61615344,46336125,31056906,,,,,,,,,,,,,,,,,,,,,,
402847,11938550,THE NESTLE CO INC,5,115,,,,128956000,61000000,29506800,42804000,63200000,7115700,10800000,28965000,15220900,1750000,5076000,8402000,,,,,,,,,,,,,,,,,,,,,,,,,,
402848,11938560,PREMCOR REFINING GROUP,1,103,,,187000000,199728000,135079200,175024800,187100000,197650000,160308000,168192000,162936000,162790000,128000000,128000000,86400000,93600000,64800000,64800000,64800000,64800000,129600000,115200000,104220000,173700000,98550000,115632000,141269000,49595000,17367000,8221000,38714000,40738000,63242000,4278000,20625000,96000,1294000,2492000,2072333.333,1652666.667,1233000
