p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
403563,16338880,ROCKWOOD PIGMENTS,12,70,,,100331530,116109307,104000000,197100000,6000000,5000000,70000000,47960000,25920000,28950000,28950000,19340000,19340000,19340000,19340000,19340000,19340000,139696000,134415000,282299760,260866506.7,239433253.3,218000000,218000000,218000000,218000000,,,,,,,,,,,,,
403565,16338880,ROCKWOOD PIGMENTS,14,130,,,167219220,185774892,310000000,473040000,280250000,455000000,220000000,142400000,64800000,48300000,48300000,25720000,25720000,25720000,25720000,25720000,25720000,25720000,,,,,,,,,,,,,,,,,,,,,
403566,16338880,ROCKWOOD PIGMENTS,15,116.5,,,,,98000000,89352000,480250000,455000000,720000000,750000000,893500000,695244000,695244000,481963000,481963000,481963000,481963000,481963000,481963000,6494000,-468975000,,,,43200000,43200000,43200000,43200000,,,,,,,,,,,,,
403567,16338890,SOLVAY FLUORIDES INC,12,20,,,9000000,11752900,7711983,4503546,5123771,6450000,3500000,1000000,-1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403568,16338900,CIRCLE PACKING CORP,1,,,,330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403571,16338915,MOBIL OIL CORP - SAUGET TERMINAL,1,96,,,,,,3000,3000,10000,3000,2400000,10000,10000,350000,350000,350000,350000,,,,,,,,,,,,,,,,,,,,,,,,,
403572,16338920,PERFORMANCE PRODUCTS INC,1,120,,,19440000,19440000,19440000,28472000,29106450,28472000,27837550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403573,16338920,PERFORMANCE PRODUCTS INC,8,106,,,3240000,3240000,3240000,87953800,87953800,87953800,87953800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403574,16338920,PERFORMANCE PRODUCTS INC,9,127,,,3600000,3600000,3600000,3600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403602,16338950,MIDWEST RUBBER RECLAIMING,10,115,,,104500000,105000000,117000000,120000000,75000000,30000000,77760000,31100000,16366000,1632000,-13102000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403603,16338950,MIDWEST RUBBER RECLAIMING,11,115,,,11500000,28000000,50000000,106000000,880400000,60000000,38880000,13682012,2933480,2278608,1623736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403604,16338970,STERLING STEEL CASTING CO,1,100,,,7800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403609,16339080,IDOT DIST 8 - EAST ST LOUIS DEWATERING,111,,,,,1051200000,1314000000,1314000000,1314000000,1314000000,1314000000,1577000000,1314000000,1577000000,1577000000,1577000000,2575440000,2522880000,2522880000,2207520000,1769064000,1695055500,1621047000,1473030000,1556281800,1556281800,1556281800,1556281800,1556281800,1556281800,1639533600,1639533600,1576800000,1576800000,1575000000,1575000000,1575000000,1575000000,1575000000,5184000,5184000,5184000,5184000
403610,16339080,IDOT DIST 8 - EAST ST LOUIS DEWATERING,222,,,,,1314000000,526000000,526000000,526000000,526000000,526000000,526000000,526000000,526000000,520000000,520000000,473040000,946080000,946080000,946080000,687888000,692946000,698004000,708120000,491090400,491090400,491090400,491090400,491090400,491090400,274060800,274060800,525600000,525600000,526000000,526000000,525000000,525000000,525000000,2592000,2592000,2592000,2592000
403611,16339080,IDOT DIST 8 - EAST ST LOUIS DEWATERING,333,,,,,1051200000,1051000000,1051000000,1051000000,1051000000,1051000000,1051000000,1051000000,1051000000,1051000000,1051000000,1721340000,1892160000,1892160000,1671408000,1757196000,1554349500,1351503000,945810000,1039746600,1039746600,1039746600,1039746600,1039746600,1039746600,1133683200,1133683200,1156320000,1156320000,1155000000,1155000000,1155000000,1155000000,1155000000,5184000,5184000,5184000,5184000
403612,16339080,IDOT DIST 8 - EAST ST LOUIS DEWATERING,444,,,,,,706000000,1051000000,1051000000,1051000000,1051000000,1314000000,788000000,946000000,946000000,946000000,1576800000,2049840000,2049840000,788400000,1050372000,907074000,763776000,477180000,448253800,448253800,448253800,448253800,448253800,448253800,419327600,419327600,1051200000,1051200000,1051200000,1051200000,1051200000,1051200000,1051200000,2592000,2592000,2592000,2592000
403613,16339220,KETTLER CASTING CO INC,1,28,,,256250,128125,220000,220000,265000,240000,400000,400000,400000,400000,400000,400000,400000,400000,400000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,95760,-308480,,,,,,,,,
403614,16339365,STONEWOLF GOLF COURSE,1,96,2850451,2045189,,,,,,,,,,,,,,,,,,,,,262800000,262800000,262800000,262800000,,,,,,,,,,13200000,15500000,16000000,15000000,16000000,17000000
403617,16346275,"EAGLE MARINE INDUSTRIES, INC",1,112,,,,,,,,,,,10000,22500,35000,20000,36500,53000,,,,,,,,,,,,,,,,,,,,,,,,,
403621,16361300,BALDWIN LAKE F & W AREA,1,40,,,,,,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,18250,182500,3650,-175200,,,,,,,,,,,
403622,16361300,BALDWIN LAKE F & W AREA,2,,,,,,,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,71200,7300,54750,10800,-33150,,,,,,,,,,,
403623,16361300,BALDWIN LAKE F & W AREA,3,45,,,,,,21360,21360,21360,21360,21360,21360,21360,21360,21360,21360,21360,21360,21360,21360,21360,21360,21360,21360,21360,21360,21360,1825,18250,2000,-14250,,,,,,,,,,,
403626,16395125,COZY ACRES MHP,1,350,2844581,1971419,1569500,906000,38000,-830000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404521,11938810,WOOD RIVER REFINERY,79,,,,,,,,,,,,,,30000000,63700000,41000000,41000000,46990240,52980480,67000000,33000000,105000000,128000000,130000000,130000000,57727000,57727000,65700000,65700000,65700000,62850000,60000000,65700000,52560000,65880000,63173077,40245421,51090337,47055243.5,43020150,23256860,3493570
404522,11938810,WOOD RIVER REFINERY,80,,,,,,,,,,,,,,30000000,55500000,57000000,31000000,35804000,40608000,53000000,43000000,77000000,134000000,130000000,130000000,57727000,57727000,65700000,65700000,65700000,62850000,60000000,65700000,52560000,65880000,66963462,40610551,69663804,1443759,16786579,28838507,40890435
404523,11938810,WOOD RIVER REFINERY,81,,,,,,,,,,,,,,30000000,65600000,63000000,25000000,28607200,32214400,66000000,59000000,82000000,72000000,75000000,75000000,57727000,57727000,65700000,65700000,65700000,62850000,60000000,65700000,52560000,69569280,66710769,88604839,78977147,78750506,76302632,46495116,16687600
404588,13390020,FOUNTAIN WATER DISTRICT,1,,2767975,1924025,,,,,,,,,,,,,,1917000,9947822,9947822,17603550,37851600,22273050,25542700,30860000,33975850,480400,77163762,98016600,53081125,56140500,58423000,56064849,58980300,62788850,65533850,62243750,58953650,,,,74131029,
404589,13390020,FOUNTAIN WATER DISTRICT,2,,2768146,1923301,,,,,,,,,,,,,,1917000,9947822,9947822,17603550,19938300,22273050,25542700,30860000,33975850,70000000,64360375,58720750,53081125,56140500,58423000,56064849,58980300,62788850,65533850,62243750,58953650,,,,56590721,
404671,16338935,TWI (TRADE WASTE INCINERATION INC),2,89,,,,,,,,,,,,,,7000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
404725,16338870,CERRO COPPER PRODUCTS,6,111,,,601670470,120000000,90000000,700000,313000,-74000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404869,16339080,IDOT DIST 8 - EAST ST LOUIS DEWATERING,555,,,,,,,,,,,,,,,,2049840000,2168100000,2168100000,2207520000,1944720000,1847340000,1749960000,1555200000,1597276800,1597276800,1597276800,1597276800,1597276800,1597276800,1639353600,1639353600,2181240000,2181240000,2182000000,2000000000,2000000000,2000000000,2000000000,4176000,7200000,7200000,7200000
404940,11938333,SUGARLOAF LANDSCAPE NURSERY,1,109,,,,,,,,,,,,,,,,,3600000,3600000,3600000,,,,11900000,11900000,11900000,11900000,11900000,11900000,11900000,11900000,11900000,11900000,11900000,11900000,11900000,11900000,11900000,,,,
405024,11990050,ALHAMBRA,4,95,2922740,2143520,,,,,,,,,,,,,,,14000000,15118000,14750000,10581000,6412000,9194000,10857000,8038000,8800000,9160000,9455000,9141000,10138000,10227000,9104000,8809500,8515000,8634000,7925000,9980000,13479000,14262000,14219000,14176000,14440000
405087,11938490,U.S. STEEL - GRANITE CITY WORKS,4,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
405132,13339798,THE RIDGE GOLF & COUNTRY CLUB,2,67,2819275,1940498,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
405137,16339135,ORCHARDS GOLF CLUB,1,563,2881011,1991577,,,,,,,,,,,,,,,1500000,1080000,907200,811800,716400,621000,525600,525600,525600,525600,,,,,,,,,,,,,,,
405171,16391200,ST LIBORY,2,65,,,,,,,,,,,,,,,,,,,,14600000,14600000,10337500,16425000,14600000,18250000,19447200,15889000,15889000,9112000,9112000,8937500,8937500,8937500,,,,,,,,
405321,16339707,LOCUST HILLS GOLF CLUB,1,,2907162,2035122,,,,,,,,,,,,,,,216000,216000,432000,648000,864000,842666.6667,821333.3333,800000,722333.3333,644666.6667,567000,900000,9000,-882000,,,,,,,,,,,
405322,16339707,LOCUST HILLS GOLF CLUB,2,88,2907170,2031222,,,,,,,,,,,,,,,3456000,3456000,9000000,9000000,10000000,6792000,14260000,12000000,9545000,9660000,11960000,12300000,15000000,7015000,5635000,5635000,5635000,5635000,,,,,,,
405339,11939895,BERGMANN TAYLOR SEEDS INC,2,202,,,,,,,,,,,,,,,,,,,,,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2000000,1700000,,,,,,,,,,,,
405340,11939895,BERGMANN TAYLOR SEEDS INC,3,122,,,,,,,,,,,,,,,,,,,,,700000,700000,700000,700000,700000,700000,700000,700000,700000,,,,,,,,,,,,
405352,13339450,COLUMBIA QUARRY CO DUPO #9,1,76,,,,,,,,,,,,,,,,,,,84000,92000,1300000,2800000,4300000,2700000,3382000,2611000,2577100,3000000,3000000,3000000,3000000,3500000,3500000,3500000,3000000,3100000,3200000,3100000,50000,-3000000,
405495,11990250,EDWARDSVILLE,10,115,2847006,2102174,,,,,,,,,,,,,,,,,274071817,180643110,170867113,220023462,231825957,239905735,181342933,190986435,214000000,272649555,217613726,198164351,255244737,250714110,251175856,202302375.5,153428895,104555414.5,,,,405462805,
405496,11990250,EDWARDSVILLE,11,115,2846792,2102240,,,,,,,,,,,,,,,,,274071817,180643110,170867113,220023461,231825957,239905736,181342933,190986435,214000000,272649555,217613726,198164351,255244737,250714110,251175856,202302375.5,153428895,104555414.5,,,,405462805,
407661,11990950,ST JACOB,5,219,2923950,2078681,4194500,5233300,7538300,6230460,4097500,6063300,6104300,5808500,5036300,5095800,6093000,6384100,6100000,6025800,6165300,6331400,7384900,7448500,7089600,7519900,7534000,7653400,7677000,7561000,8168300,8556000,8315000,8395000,7654000,7654000,7654000,12138500,16623000,4882000,8594000,8614000,5622000,3527000,1432000
407662,11990950,ST JACOB,4,188,2924061,2076804,6235700,4876100,3883500,4584900,4126800,3995900,3906500,3848200,3252800,3298400,3629500,3729500,3900000,3365800,3757400,3599200,3426100,4344100,4052100,3911100,3772000,3608000,3565000,3816700,712300,-2392100,,,,,,,,,,,,,
407666,11990750,MARYVILLE,2,102,2854752,2079301,33576000,30770000,46814800,35207000,75967333,65466000,48625660,64536000,57391000,61501667,64871666,63616000,62907666,69636334,74479500,74479500,77686333.33,80893166.67,84100000,83975333,90334333,90521333,91860333,96954333,80767250,80173250,87277500,79770000,77016750,78424500,83539000,86910750,82942125,78973500,75004875,,,,
407667,11990750,MARYVILLE,1,100,2854552,2079309,33576000,30770000,46814800,35207000,75967334,65466000,48625670,64536000,57391000,61501667,64871666,63616000,62907666,69636334,74479500,74479500,77686333.33,80893166.67,84100000,83975333,90334333,90521333,91860333,96954333,80767250,80173250,87277500,79770000,77016750,78424500,83539000,86910750,82942125,78973500,75004875,,,,
407668,11990750,MARYVILLE,3,101,2854773,2079519,33576000,30770000,46814800,35206000,75967333,65466000,48625660,64536000,57391000,61501667,64871666,63616000,62907666,69636334,74479500,74479500,161161250,247843000,84100000,83975334,90334334,90521334,91860334,96954334,80767250,80173250,87277500,79770000,77016750,78424500,83539000,86910750,82942125,78973500,75004875,,,,
407673,11990300,GLEN CARBON,6,106,2853618,2081664,114450000,98164800,124560000,115535000,64393000,28449750,35253640,49650720,45637300,45673400,52331200,55698101,58223550,67648016,60340210,99625500,138910790,,,,,,,,,,,,,,,,,,,,,,
407674,11990300,GLEN CARBON,5,99,2853823,2081823,48399000,56038500,49942800,75655000,48428000,56288450,97086230,108327490,107445600,96855750,105520200,112568794,114610750,124035216,112349110,99625500,86901890,,,,,,,,,,,,,,,,,,,,,,
407675,11990300,GLEN CARBON,4,114,2853629,2081778,25839000,51990000,109064520,32323000,9202440,65366500,95456330,94752790,94650200,107320250,115360500,124881005,127335400,136759866,127476780,99625500,71774220,,,,,,,,,,,,,,,,,,,,,,
407676,11991000,TROY,4,108,2853276,2063423,,,,,,,,,,110000000,111000000,103000000,110000000,108000000,103565000,104715000,129146000,123703000,118260000,122640000,228835000,131919800,170820000,180586700,141577250,141577250,141577250,209952000,143849268,148051200,132129000,132129000,145005300,130391520,137428600,128128100,159417400,133440886,107464372
407677,11991000,TROY,1,115,2854502,2063425,79824000,83300600,88241000,69850000,95000000,70000000,94000000,95000000,92000000,64000000,64000000,57000000,65000000,75000000,99599000,102426000,108758000,120079000,131400000,153300000,163337500,96739200,101178000,130769730,141577250,141577250,141577250,45885000,49762473,78203250,71025120,71025120,40876500,58851000,61079400,44352000,51425000,20529244,-10366512
407678,11991000,TROY,2,115,2854246,2063396,79824000,83300600,88241100,69850000,95000000,93000000,115000000,125000000,123000000,75000000,75000000,70000000,75000000,76000000,78492000,91374000,83451000,104797500,126144000,137970000,199728000,109440000,144540000,130769730,141577250,141577250,141577250,89460000,139721474,146343600,184473600,184473600,139180800,210015000,142518500,147840100,113134900,102646220,92157540
407679,11991000,TROY,3,113,2853599,2063435,79824000,83300600,88241100,139700000,94074000,118000000,135000000,142000000,133000000,80000000,80000000,95000000,80000000,86000000,108129000,107403000,123381000,127390500,131400000,130305000,246375000,112039200,160965000,180586700,141577250,141577250,141577250,100170000,111666784,107235450,93769200,93769200,118858500,90493200,167968300,172480100,190272400,112910842,35549284
407681,11994280,COLLINSVILLE,11,100,2851506,2052944,155304000,158378000,177188000,194660000,196750000,225343000,23655900,207163400,164545400,175095400,185645400,185645400,189950000,163122800,177105500,191088200,191094650,191101100,191107550,191114000,203445200,215776400,190144000,499320000,190000000,499320000,215704200,166332333,139819500,135741482,127785167,143454207,141586165,187044000,140428000,187944000,118939200,313791768,508644336
407682,11994280,COLLINSVILLE,1,102,2850230,2053007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140428000,,,,
407683,11994280,COLLINSVILLE,10,103,2851046,2052958,155304000,158378000,177188000,200000000,196750000,225343000,23655900,207163400,164545400,214775500,185645400,185645400,189950000,163122800,177105500,191088200,191094650,191101100,191107550,191114000,203445200,215776400,190144000,473040000,190000000,473040000,756080000,,,,,,,,,,,,
407687,11994280,COLLINSVILLE,9,98,2851230,2053385,155304000,158378000,177188000,200000000,196750000,225343000,236559000,207163400,164545400,214775500,185645400,185645400,189950000,163122800,177105500,191088200,191094650,191101100,191107550,191114000,203445200,215776400,190144000,315360000,190000000,315360000,215704200,166332333,139819500,135741482,127785166,143454207,141586165,194445720,140428000,25878840,34810560,97883148,160955736
407689,11994280,COLLINSVILLE,7,98,2851578,2053252,155304000,158378000,177188000,200000000,196750000,225343000,236559000,207163400,164545400,214775500,185645400,185645400,189950000,163122800,177105500,191088200,191094650,191101100,191107550,191114000,203445200,215776400,190144000,473040000,190000000,473040000,215704200,166332333,139819500,135741482,131663464,,,,,,,,
407690,11994280,COLLINSVILLE,8,99,2851303,2053234,155304000,158378000,177188000,200000000,196750000,225343000,236559000,207163400,164545400,214775500,185645400,185645400,189950000,163122800,177105500,191088200,103248000,132536666.7,161825333.3,191114000,203445200,215776400,190144000,420480000,190000000,420480000,215704200,166332333,139819500,135741482,127785167,143454207,141586165,37935300,140428000,32049000,171104880,119102892,67100904
407693,11990010,ARLINGTON HEIGHTS APARTMENTS,1,,2845022,2070251,,,,,,652222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407694,11990010,ARLINGTON HEIGHTS APARTMENTS,2,,2845007,2070301,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407695,11990010,ARLINGTON HEIGHTS APARTMENTS,3,,2845009,2070373,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407696,11990010,ARLINGTON HEIGHTS APARTMENTS,4,,2845018,2070451,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407697,11990010,ARLINGTON HEIGHTS APARTMENTS,5,,2845022,2070516,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407698,11990010,ARLINGTON HEIGHTS APARTMENTS,6,,2845028,2070592,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407699,11990010,ARLINGTON HEIGHTS APARTMENTS,7,,2845043,2070666,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407700,11990010,ARLINGTON HEIGHTS APARTMENTS,8,,2844981,2070699,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407701,11990010,ARLINGTON HEIGHTS APARTMENTS,9,,2845054,2070832,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407703,11990010,ARLINGTON HEIGHTS APARTMENTS,10,,2844902,2070684,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407704,11990010,ARLINGTON HEIGHTS APARTMENTS,11,,2844959,2070839,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407705,11990010,ARLINGTON HEIGHTS APARTMENTS,12,,2844853,2070660,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407706,11990010,ARLINGTON HEIGHTS APARTMENTS,13,,2844810,2070691,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407707,11990010,ARLINGTON HEIGHTS APARTMENTS,14,,2844848,2070851,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407708,11990010,ARLINGTON HEIGHTS APARTMENTS,15,,2844710,2070673,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407709,11990010,ARLINGTON HEIGHTS APARTMENTS,16,,2844791,2070854,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407710,11990010,ARLINGTON HEIGHTS APARTMENTS,17,,2844608,2070748,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407711,11990010,ARLINGTON HEIGHTS APARTMENTS,18,,2844635,2070863,,,,,,326111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407712,11995145,HOLIDAY MHP,1,104,2844680,2067866,14961691,16527690,16194330,16114134,15182965,15666159,12740000,13847827.33,14955654.67,16063482,13870000,11541500,10220000,8898500,,,,,,,,,,,,,,,,,,,,,,,,,
407715,11990700,MARINE,3,110,2914529,2112856,15112200,4006300,10600000,13972800,13972800,13638600,13638600,13359000,13454500,13550000,13645500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407716,11990700,MARINE,2,86,2914820,2096920,5037400,4006300,10600000,4657600,4657600,4546200,4546200,6679500,6702250,6725000,6747750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407717,11990700,MARINE,1,90,2914808,2096994,5037400,4006300,10700000,4657600,4657600,4546200,4546200,6679500,6702250,6725000,6747750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407720,11990500,HARTFORD,3,106,2830151,2115805,58058500,58058500,20000000,60318000,35334100,40491266,35301600,38429600,45376800,25315699,25000000,43863500,44028765,48751800,35166500,47039100,49302400,45753900,38307700,30861500,44639700,34870000,51756000,44588000,52024000,54514000,62923000,44464000,70482000,70482000,70482000,41665000,33230000,24795000,,,,,
407722,11990500,HARTFORD,2,111,2830297,2116157,3492000,3492000,19990000,129600,144000,40491267,80838534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407723,11990900,ROXANA,10,111,2840563,2106862,68180666,65782000,70956000,81250000,79000000,69600000,66712330,66712330,23000000,72990717,23000000,23000000,80000000,80000000,71000000,86741300,99000000,92800000,94400000,94200000,94000000,94005800,93996000,84092000,73750000,104000000,71968000,65000000,98174810,90000000,70000000,34500000,30522000,35311000,40100000,32000000,29500000,33000000,36500000
407724,11990900,ROXANA,9,109,2840269,2106883,68180666,65782000,70956000,77175000,77000000,69700000,66712330,66712330,99371250,72990717,99371250,99371250,80000000,80000000,66040900,83400000,97400000,93000000,95375100,94045050,92715000,93500000,96500000,92000000,80699000,113436000,74000000,87200000,93906340,90000000,71000000,32800000,31827000,36963500,42100000,33400000,30700000,25500000,20300000
407726,11990900,ROXANA,8,110,2839971,2106909,68180666,65782000,70956000,81250000,81000000,69600000,66712340,66712340,96600900,72990716,96600900,96600900,47206700,47206700,71000000,83000000,112392000,105862400,87400000,97200000,82900000,80000000,93200000,136000000,189300000,107000000,184000000,212600000,234765850,221000000,128000000,111900000,105000000,119500000,134000000,117000000,107500000,105200000,102900000
407727,11990250,EDWARDSVILLE,8,112,2846875,2102144,18841000,264028000,311485000,283630000,200614000,289500000,333000000,274317330,228796380,288796380,209884000,293400000,284000000,240000220,280240330,232935803,146171635,180643110,170867113,220023462,231825957,239905735,181342933,190986435,214000000,272649555,217613726,198164351,255244737,250714110,251175856,202302375.5,153428895,104555414.5,,,,405462805,
407729,11990250,EDWARDSVILLE,4,116.6,2846728,2102157,18841000,18860000,18879000,,,,500000,15675276,22879638,22879638,125930400,61230000,60130000,112000210,90000520,199659260,43851491,94474270,170867112,62640,-170741832,,,,,,,,,,,,,,,,,,
407731,11990250,EDWARDSVILLE,7,117,2846705,2102349,314012000,157160000,242265000,212722000,401227000,354700000,367000000,313505520,381327300,381327300,293837600,303900000,295353239,310000120,322210210,232935803,146171635,180643110,170867112,220023462,231825957,239905735,181342933,190986435,214000000,272649555,217613726,198164351,255244737,250714110,251175856,202302375.5,153428895,279445850,405462805,405462805,405462805,405462805,405462805
407732,11990250,EDWARDSVILLE,3,114,2846582,2102345,94204000,31432000,79218000,70907000,6687000,14300000,500000,7837638,3813273,3813273,3813273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407734,11990250,EDWARDSVILLE,5,111,2846949,2102539,182127000,157160000,69219000,141815000,60184000,65200000,36000000,31350552,41946003,41946003,41976800,9657000,10657000,51100110,31100410,99829630,65777236,94474270,170867112,908800,118800,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,,,,,,,,
407735,11990050,ALHAMBRA,1,104,2922345,2143346,4500000,5000000,5000000,7830000,7870000,6000000,7000000,6000000,5000000,8500000,6000000,1050000,5000000,8210000,3000000,3060000,3687000,5049500,6412000,2100000,1225000,2603000,1920000,1200000,520000,375000,322000,304000,301000,276500,252000,232000,16200,-199600,,,,,
407737,11990050,ALHAMBRA,3,82,2922613,2143483,12000000,8000000,11000000,7840000,7870000,10000000,9000000,10000000,7000000,8500000,10000000,11970000,10000000,17632000,7000000,6380000,6146000,6279000,6412000,7453000,6083000,7524000,6425000,7100000,8380000,8511000,8432000,8367000,7262000,7758500,8255000,7355000,8201000,5558000,4256000,6408000,5165000,3922000,4608000
407738,11990050,ALHAMBRA,2,91.5,2922493,2143432,3000000,7000000,6000000,7830000,7870000,8000000,7000000,9000000,12000000,8500000,11000000,12530000,10000000,2052000,-5896000,,,,,,,,,,,,,,,,,,,,,,,,
407739,11990450,HAMEL,2,113,2914490,2136256,7944463,4921875,6878916,5843000,5843000,3780000,3515000,4632800,4032000,2934700,2436200,2178000,2538000,1302200,2000000,2697800,,,,,,,,,,,,,,,,,,,,,,,
407740,11990450,HAMEL,1,113,2913931,2136277,2648156,2992789,1559499,1033000,1033000,1033000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407741,11990450,HAMEL,4,114,2914122,2136274,,,,3778000,6614000,9450000,7908750,9265600,7394000,4883470,8526700,7625000,8884050,9535400,6969000,7569000,7503333,7174000,4786666.667,2399333.333,12000,50000,12000,-26000,,,,,,,,,,,,,,,
407742,11990450,HAMEL,3,110,2914663,2135768,11475336,11923083,11717655,8321000,8321000,5670000,6151000,7412480,2760000,4251930,4872400,4357000,5076000,6811000,6969000,6489000,7503333,7174000,4786666.667,2399333.333,12000,12000,12000,12000,,,,,,,,,,,,,,,
407743,11995100,FOREST HOMES MAPLE PARK PWD,1,67,2839266,2148759,3500000,6912050,10324100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407744,11995100,FOREST HOMES MAPLE PARK PWD,2,70,2839266,2148759,3500000,6912050,10324100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407746,11990200,EAST ALTON,21,92,2823493,2132143,79048000,78298773,78768667,126409000,156672000,140285975,108811600,100000000,195000000,129720000,170209195,170209195,43243200,71319375,66555812,63829050,52466300,42766500,51164875,62802429,75445285,61409143,77090000,79942143,74000000,74814500,75629000,80141571,53704125,68350375,77191125,64860125,58696625,59228000,54548625,49869250,,,
407748,11990200,EAST ALTON,20,97,2823336,2132104,79048000,78298774,78768666,126409000,156672000,140285975,108811600,102400000,54000000,5600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,587681000,
407749,11990200,EAST ALTON,22,103,2823493,2132389,79048000,78298773,78768667,126409000,156672000,140285975,108811600,218732000,171000000,129720000,170209195,170209195,51105600,71319375,66555812,63829050,52466300,42766500,51164875,62802429,75445285,61409143,77090000,79942143,74000000,74814500,75629000,80141571,53704125,68350375,77191125,64860125,58696625,59228000,54548625,49869250,,,
407750,11990200,EAST ALTON,23,108,2823318,2132341,,,,,,96602105,217623200,235063600,195000000,194580000,170209195,170209195,40622400,71319375,66555812,63829050,52466300,42766500,51164875,62802429,75445286,61409143,77090000,79942143,74000000,74814500,75629000,80141571,53704125,68350375,77191125,64860125,58696625,59228000,54548625,49869250,,,
407771,11990150,BETHALTO,6,95,2835502,2129233,25886800,26010300,76328285,100000000,91181200,80332140,99342660,100582833,97601333,75745857,78424571,76729571,80380714,81513715,80691429,81244714,81013143,80244047.67,79474952.33,78705857,86560857,86727143,93902140,89167000,87192000,82572142,86983428,78508571,78508571,73510857,74554571,76830714,65871250,69176196.45,72481142.9,75786089.35,,,
407773,11990150,BETHALTO,10,98,2835655,2129208,77660400,78030900,76328285,100000000,91181200,80332140,99342660,100582833,97601333,75745857,78424571,76729571,80380714,81513715,80691429,81244714,81013143,80244047.67,79474952.33,78705857,86560857,86727143,93902140,89167000,87192000,82572143,86983429,78508572,78508572,73510857,74554572,76830714,65871250,69176196.45,72481142.9,75786089.35,,,
407774,11990150,BETHALTO,11,88,2835612,2129526,67305680,67626780,76328285,33132000,91181200,80332140,99342660,100582833,97601333,75745857,78424571,76729571,80380714,81513715,80691429,81244714,81013143,80244047.67,79474952.33,78705857,86560857,86727143,93902140,89167000,87192000,82572143,86983429,78508572,78508572,73510857,74554572,76830715,98806875,85644008.95,72481142.9,59318276.85,,,
