,row,col,y1995,x,y,model,diff
0,45,21,408.35,21500.0,174500.0,410.04693603515625,1.6969360351562273
1,45,26,401.66,26500.0,174500.0,390.7298889160156,-10.9301110839844
2,45,27,388.055,27500.0,174500.0,396.0065002441406,7.951500244140618
3,46,23,396.58,23500.0,173500.0,386.40838623046875,-10.171613769531234
4,46,25,400.15,25500.0,173500.0,396.9639892578125,-3.1860107421874773
5,47,23,403.3633333333333,23500.0,172500.0,399.529296875,-3.834036458333287
6,47,25,414.89,25500.0,172500.0,400.3498840332031,-14.540115966796861
7,47,33,398.47666666666663,33500.0,172500.0,387.664306640625,-10.812360026041631
8,48,24,408.41,24500.0,171500.0,403.2929382324219,-5.11706176757815
9,49,26,403.145,26500.0,170500.0,403.8931579589844,0.7481579589843932
10,50,28,403.9,28500.0,169500.0,403.63232421875,-0.26767578124997726
11,50,45,398.06285714285707,45500.0,169500.0,394.6210632324219,-3.4417939104351944
12,52,34,389.23,34500.0,167500.0,396.85906982421875,7.629069824218732
13,53,32,403.03999999999996,32500.0,166500.0,399.8623046875,-3.1776953124999636
14,53,33,402.48,33500.0,166500.0,397.3895568847656,-5.090443115234393
15,54,32,403.73,32500.0,165500.0,403.10589599609375,-0.6241040039062682
16,54,35,399.48,35500.0,165500.0,385.5508728027344,-13.929127197265643
17,54,36,399.58500000000004,36500.0,165500.0,383.0344543457031,-16.55054565429691
18,55,47,400.97,47500.0,164500.0,406.56805419921875,5.598054199218723
19,56,38,402.008,38500.0,163500.0,391.82177734375,-10.186222656249981
20,57,43,407.11,43500.0,162500.0,395.3777160644531,-11.732283935546889
21,58,47,400.28,47500.0,161500.0,397.6015625,-2.6784374999999727
22,58,49,425.26,49500.0,161500.0,404.9700012207031,-20.289998779296866
23,59,38,389.77,38500.0,160500.0,393.0157165527344,3.245716552734393
24,61,41,359.9,41500.0,158500.0,376.67889404296875,16.778894042968773
25,61,42,400.5,42500.0,158500.0,382.7491149902344,-17.750885009765625
26,63,40,407.81,40500.0,156500.0,387.601806640625,-20.208193359375002
27,63,43,367.79,43500.0,156500.0,376.7969055175781,9.006905517578105
28,64,39,402.21,39500.0,155500.0,391.78277587890625,-10.42722412109373
29,67,45,409.77,45500.0,152500.0,401.5780029296875,-8.191997070312482
30,67,50,412.55,50500.0,152500.0,410.23907470703125,-2.3109252929687614
31,68,41,407.13,41500.0,151500.0,401.28399658203125,-5.8460034179687455
32,69,54,416.95,54500.0,150500.0,418.1906433105469,1.2406433105468864
33,70,41,406.52,41500.0,149500.0,405.301025390625,-1.2189746093749818
34,72,50,411.2166666666667,50500.0,147500.0,409.8858337402344,-1.330832926432322
35,73,47,405.26,47500.0,146500.0,413.48260498046875,8.222604980468759
36,76,40,403.99,40500.0,143500.0,410.693115234375,6.703115234374991
37,77,57,411.4766666666667,57500.0,142500.0,395.48388671875,-15.992779947916688
38,77,59,415.86,59500.0,142500.0,414.73150634765625,-1.1284936523437636
39,78,62,419.75,62500.0,141500.0,427.6293640136719,7.879364013671875
40,79,34,403.54,34500.0,140500.0,407.70355224609375,4.1635522460937295
41,79,38,411.08,38500.0,140500.0,410.6498107910156,-0.4301892089843591
42,82,64,419.0,64500.0,137500.0,433.16943359375,14.16943359375
43,84,65,422.78,65500.0,135500.0,436.50323486328125,13.723234863281277
44,86,31,403.84,31500.0,133500.0,406.3861999511719,2.5461999511719
45,86,54,412.66,54500.0,133500.0,419.9629211425781,7.3029211425781
46,88,30,403.94,30500.0,131500.0,406.64178466796875,2.7017846679687523
47,89,29,403.76,29500.0,130500.0,406.4704284667969,2.710428466796884
48,89,52,415.37,52500.0,130500.0,420.0214538574219,4.6514538574218705
49,90,29,403.63,29500.0,129500.0,407.3491516113281,3.7191516113281295
50,94,27,403.1,27500.0,125500.0,407.3582458496094,4.258245849609352
51,95,65,417.9,65500.0,124500.0,424.4261169433594,6.526116943359398
52,97,38,410.43,38500.0,122500.0,414.5418701171875,4.111870117187493
53,98,25,402.93,25500.0,121500.0,407.2466735839844,4.316673583984368
54,98,29,408.94,29500.0,121500.0,410.7065734863281,1.7665734863281273
55,100,30,410.03,30500.0,119500.0,411.2505187988281,1.2205187988281523
56,100,46,406.65,46500.0,119500.0,413.74273681640625,7.092736816406273
57,100,64,407.605,64500.0,119500.0,403.45404052734375,-4.150959472656268
58,101,23,403.18,23500.0,118500.0,405.6575012207031,2.477501220703118
59,101,44,409.01,44500.0,118500.0,413.05230712890625,4.042307128906259
60,101,55,412.72,55500.0,118500.0,414.72320556640625,2.0032055664062227
